Week,Year,Month,Day,NE,ENC,C,SE,WNC,S,SW,NW,W,NAT
1,2008,1,5,22.72,16.98,27.78,42.17,21.78,39.58,31.68,29.26,38.25,30.85
2,2008,1,12,41.41,30.45,46.56,57.24,25.43,51.9,33.44,30.39,38.41,39.75
3,2008,1,19,26.61,12.7,27.62,43.59,16.78,37.84,25.87,27.16,36.85,28.63
4,2008,1,26,16.58,3.31,19.46,39.13,9.18,35.51,30.21,19.6,34.7,24.14
5,2008,2,2,26.85,16.23,32.55,46.62,17.04,44.94,30.98,27.7,35.01,31.72
6,2008,2,9,32.37,22.04,41.21,56.25,19.24,50.28,31.77,30.64,38.64,36.39
7,2008,2,16,21.53,6.22,26.56,48.38,20.23,45.97,38.16,34.85,43.66,33.17
8,2008,2,23,24.89,9.93,29.56,51.84,22.15,46.79,36.93,34.05,42.09,34.4
9,2008,3,1,22.28,20.24,32.5,47.58,32.48,51.43,43.82,39.22,47.44,39.35
10,2008,3,8,34.96,17.17,36.96,55.95,25.97,45.86,37.04,35.54,44.92,37.58
11,2008,3,15,30.35,27.86,41.38,53.4,34.87,55.01,43.9,39.24,48.52,43.11
12,2008,3,22,34.87,31.29,44.34,59.53,34.69,55.1,42.09,37.2,46.3,43.94
13,2008,3,29,36.64,31.96,42.82,59.78,36.38,53.46,47.26,37.05,49.57,44.93
14,2008,4,5,38.99,34.94,44.66,61.74,36.3,55.31,47.42,37.02,48.8,45.99
15,2008,4,12,41.18,34.68,46.09,62.02,37.1,55.56,46.38,38.54,49.95,46.53
16,2008,4,19,41.45,37.69,45.2,60.03,41.19,54.18,49.33,39.71,51.42,47.53
17,2008,4,26,56.68,51.87,62.55,66.19,38.75,68.33,51.98,39.33,49.79,54.5
18,2008,5,3,47.48,43.95,55.33,64.4,44.21,63.01,51.75,45.67,55.47,53.21
19,2008,5,10,54.28,51.08,59.99,70.46,47.73,67.91,56.41,49.55,58.14,57.97
20,2008,5,17,53.59,52.4,58.11,67.25,51.88,66.34,55.92,55.71,64.19,58.86
21,2008,5,24,51.41,52.09,60.68,71.82,55.66,75.37,61.4,55.11,61.6,62.19
22,2008,5,31,59.63,57.35,67.44,72.88,53.7,77.63,60.78,54.84,56.12,63.45
23,2008,6,7,64.66,63.54,74.69,79.71,57.86,81.08,65.03,50.42,61.7,67.71
24,2008,6,14,72.66,64.85,76.1,80.57,54.9,79.89,65.45,52.61,65.68,68.44
25,2008,6,21,63.9,63.53,70.23,76.32,62.61,79.28,73.44,61.02,73.13,70.35
26,2008,6,28,68.01,67.64,73.35,78.41,66,80.6,73.72,63.37,72.73,72.44
27,2008,7,5,68.28,65.8,70.59,76.88,68.65,77.97,74.72,71.08,75.05,72.76
28,2008,7,12,71.46,70.27,76.12,79.1,68.36,80.68,72.62,66.84,77.68,74.17
29,2008,7,19,71.72,69.9,74.98,78.39,68.84,80.47,73.69,67.69,75.54,74.03
30,2008,7,26,70.95,69.18,75.66,80.15,71.72,83.13,74.87,66.68,74.53,75.11
31,2008,8,2,70.73,70.86,77.2,81.31,72.6,84.06,76.16,65.07,74.78,75.89
32,2008,8,9,67.35,68.99,74.65,80.5,70.6,82.63,74.08,69.25,75.79,74.75
33,2008,8,16,64.93,65.38,69.1,75.74,66.52,78.08,72.37,68.52,76.18,71.51
34,2008,8,23,66.12,69.72,72.98,76.99,68.06,76.28,70.94,65.85,73.58,71.72
35,2008,8,30,65.54,63.63,72.38,77.82,59.36,78.46,58.5,57.46,70.58,67.54
36,2008,9,6,68.44,63.64,72.38,77.49,55.89,74.74,65.72,56.3,69.4,67.26
37,2008,9,13,61.87,57.65,68.98,78.29,54.79,74.52,64.31,60.78,69.11,66.02
38,2008,9,20,60.15,60.2,66.12,73.48,60.8,68.28,64.19,62.93,68.44,65.23
39,2008,9,27,57.05,63.5,67.61,68.88,58.68,72.37,65.4,53.98,66.09,64.69
40,2008,10,4,56.12,50.95,59.49,68.18,56.35,68.29,63.22,59.21,66.85,61.74
41,2008,10,11,51.45,53.22,62,68.87,46.68,67.85,56.22,44.74,56.1,57.25
42,2008,10,18,52.62,49.98,60.67,68.14,42.83,64.74,50.11,46.36,55.46,54.87
43,2008,10,25,41.7,44.01,49.9,57.73,42.86,58.87,52,45.79,58.32,50.97
44,2008,11,1,42.58,42.03,46.88,51.84,44.32,56.3,55.5,48.58,59.9,50.58
45,2008,11,8,48.94,49.37,54.26,59.35,40.75,59.85,46.71,41.89,49.32,50.45
46,2008,11,15,42.78,33.16,43.42,56.52,34.79,53.39,44.21,43.16,50.86,45.08
47,2008,11,22,29.39,24.37,32.23,42.42,33.93,46.56,45.84,41.6,52.98,39.88
48,2008,11,29,31.21,28.4,36.73,47.54,32.17,51,41.83,36.42,47.71,40.39
49,2008,12,6,31.34,20.23,30.67,45.34,26.24,43.22,40.65,38.09,46.45,36.35
50,2008,12,13,26.98,15.55,32.57,48.83,26.62,44.69,37.53,33.21,41.46,35.28
51,2008,12,20,28.12,9.67,33.63,57.38,1.18,44.74,29.98,16.73,31.02,28.49
52,2008,12,27,23.99,12.94,30.88,50.74,9.75,44.26,29.82,22.07,33.75,29.5
53,2009,1,3,26.5,16.3,36,51.04,21.46,47.88,35.49,31.86,39.58,35.11
54,2009,1,10,23.04,11.92,32.92,53.61,19.46,45.87,32.31,31.79,38.8,33.25
55,2009,1,17,11.16,0.84,19.95,38.79,21.85,38.43,36.09,34.92,45.62,29.2
56,2009,1,24,17.42,13.04,25.67,39.69,25.94,46.79,41.38,29.87,45.79,33.83
57,2009,1,31,15.92,6.78,23.11,47.13,16.19,39.29,33.31,26.31,39.28,28.74
58,2009,2,7,19.72,16.52,28.9,40.3,28.94,47.76,40.46,34.01,45.32,35.48
59,2009,2,14,31.78,30.16,45.62,55.7,26.39,54.36,33.88,28.7,35.54,39.18
60,2009,2,21,25.64,17.58,31.89,46.03,23.24,47.84,36.37,33.85,40.03,34.85
